text,label
"Flash flood warning issued after heavy rainfall",flood
"River levels rising and overflow expected",flood
"Urban flooding reported across downtown",flood
"Earthquake of magnitude 6.2 struck the region",earthquake
"Seismic tremor felt near the coast",earthquake
"Aftershocks continue following major quake",earthquake
"Heatwave advisory issued with record temperatures",heatwave
"Extreme heat warning as temperatures exceed 42C",heatwave
"Residents urged to stay hydrated during heatwave",heatwave
"Tropical cyclone forms over warm waters",cyclone
"Hurricane watch issued for coastal areas",cyclone
"Typhoon brings strong winds and storm surge",cyclone
"Heavy rain causes flash floods in low-lying areas",flood
"Ground shaking reported after seismic event",earthquake
"Heat advisory in effect for the weekend",heatwave
"Cyclone landfall expected with damaging winds",cyclone
"Flooding disrupts transportation and homes",flood
"Earthquake epicenter located near the city",earthquake
"Heatwave conditions persist across the plains",heatwave
"Tropical storm upgraded to cyclone status",cyclone
